,Cont. urban fabric,Industrial/commercial units,Construction sites,Agricultural,Non-irrigated arable land,Permanently irrigated land,Rice fields,Pastures,Broad-leaved forest,Transitional woodland-shrub,Sparsely vegetated areas,Inland marshes,Salines,Water bodies,Marine waters,row total,user's accuracy
Cont. urban fabric,1613.0,88.0,53.0,13.0,0.0,187.0,964.0,10.0,0.0,0.0,0.0,17.0,0.0,40.0,0.0,2985.0,0.5403685
Industrial/commercial units,15.0,4231.0,1.0,113.0,0.0,566.0,2356.0,19.0,0.0,6.0,0.0,124.0,5.0,9.0,9.0,7454.0,0.5676147
Construction sites,49.0,66.0,996.0,20.0,0.0,109.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1894.0,0.52587116
Agricultural,1.0,75.0,0.0,55035.0,52.0,78280.0,28472.0,701.0,3.0,20.0,0.0,499.0,38.0,659.0,37.0,163872.0,0.3358414
Non-irrigated arable land,0.0,9.0,5.0,352.0,7658.0,1733.0,16097.0,288.0,0.0,0.0,0.0,2875.0,1.0,0.0,16.0,29034.0,0.26375973
Permanently irrigated land,5.0,67.0,10.0,9717.0,91.0,65774.0,24318.0,333.0,2.0,5.0,1.0,947.0,85.0,294.0,166.0,101815.0,0.6460148
Rice fields,19.0,15.0,6.0,3989.0,38.0,11103.0,440925.0,921.0,2.0,40.0,0.0,702.0,165.0,1387.0,0.0,459312.0,0.9599684
Pastures,3.0,12.0,0.0,2214.0,432.0,6714.0,10145.0,19607.0,49.0,126.0,0.0,5460.0,752.0,1143.0,15.0,46672.0,0.420102
Broad-leaved forest,0.0,0.0,0.0,19.0,0.0,70.0,72.0,58.0,690.0,0.0,6.0,26.0,0.0,94.0,0.0,1035.0,0.6666667
Transitional woodland-shrub,0.0,0.0,1.0,389.0,38.0,1336.0,5230.0,1434.0,41.0,2174.0,4.0,809.0,251.0,1309.0,0.0,13016.0,0.1670252
Sparsely vegetated areas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,3.0,0.0,20.0,0.8
Inland marshes,30.0,207.0,22.0,663.0,344.0,5907.0,9241.0,1354.0,18.0,18.0,0.0,47390.0,371.0,275.0,191.0,66031.0,0.7176932
Salines,0.0,0.0,0.0,530.0,15.0,1313.0,5691.0,555.0,8.0,22.0,2.0,429.0,5095.0,1642.0,9.0,15311.0,0.33276728
Water bodies,3.0,0.0,10.0,2682.0,97.0,5996.0,36636.0,1819.0,27.0,89.0,0.0,1547.0,3095.0,22283.0,0.0,74284.0,0.2999704
Marine waters,0.0,5.0,0.0,105.0,5.0,355.0,1345.0,1.0,1.0,0.0,0.0,588.0,6.0,84.0,4158.0,6653.0,0.6249812
column total,1738.0,4775.0,1104.0,75841.0,8770.0,179443.0,582117.0,27100.0,842.0,2500.0,29.0,61413.0,9864.0,29251.0,4601.0,0.0,0.0
producer's accuracy,0.92807823,0.8860733,0.90217394,0.7256629,0.8732041,0.36654538,0.7574508,0.72350556,0.81947744,0.8696,0.55172414,0.77166075,0.51652473,0.7617859,0.90371656,0.0,0.6849133
