,Artificial,Arable land,Vineyards,Fruit trees/berry plantations,Pastures,Heterogenous agricultural areas,Forest,Natural grasslands,Transitional woodland-shrub,Bare rocks,Sparsely vegetated areas,Glaciers and perpetual snow,Wetlands,Inland waters,row total,user's accuracy
Artificial,36598.0,138.0,862.0,9165.0,1281.0,4.0,3048.0,210.0,27.0,133.0,76.0,0.0,16.0,807.0,52365.0,0.69890195
Arable land,26.0,338.0,0.0,37.0,32.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,482.0,0.70124483
Vineyards,5948.0,129.0,6554.0,14524.0,5181.0,0.0,26517.0,413.0,78.0,147.0,71.0,3.0,5.0,675.0,60245.0,0.10878911
Fruit trees/berry plantations,9150.0,213.0,1577.0,92773.0,2082.0,25.0,4207.0,63.0,74.0,0.0,15.0,0.0,10.0,1231.0,111420.0,0.83264226
Pastures,4024.0,266.0,608.0,5866.0,32010.0,34.0,92706.0,3698.0,309.0,1100.0,578.0,23.0,38.0,1571.0,142831.0,0.224111
Heterogenous agricultural areas,1.0,0.0,0.0,0.0,3.0,49.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.8032787
Forest,1335.0,101.0,195.0,1236.0,12510.0,21.0,258803.0,12198.0,1443.0,5281.0,1753.0,54.0,9.0,874.0,295813.0,0.87488717
Natural grasslands,125.0,1.0,6.0,20.0,850.0,0.0,12367.0,58445.0,1290.0,8247.0,11229.0,14.0,226.0,314.0,93134.0,0.62753665
Transitional woodland-shrub,198.0,20.0,20.0,87.0,1347.0,0.0,23652.0,9394.0,3998.0,1506.0,1491.0,0.0,12.0,88.0,41813.0,0.0956162
Bare rocks,304.0,9.0,63.0,120.0,497.0,3.0,8828.0,9672.0,308.0,15953.0,7238.0,161.0,6.0,112.0,43274.0,0.3686509
Sparsely vegetated areas,78.0,0.0,2.0,19.0,25.0,0.0,474.0,14715.0,174.0,7877.0,36077.0,11.0,31.0,110.0,59593.0,0.6053899
Glaciers and perpetual snow,278.0,0.0,129.0,380.0,892.0,4.0,11300.0,1513.0,64.0,1721.0,2894.0,1790.0,5.0,104.0,21074.0,0.08493879
Wetlands,119.0,0.0,7.0,108.0,208.0,0.0,2482.0,74.0,1.0,16.0,34.0,2.0,1009.0,50.0,4110.0,0.24549878
Inland waters,1242.0,59.0,97.0,1444.0,1294.0,0.0,7733.0,609.0,42.0,425.0,155.0,0.0,50.0,3110.0,16260.0,0.19126691
column total,59426.0,1274.0,10120.0,125779.0,58212.0,140.0,452173.0,111004.0,7808.0,42406.0,61611.0,2058.0,1417.0,9047.0,0.0,0.0
producer's accuracy,0.6158584,0.26530612,0.6476285,0.73758733,0.54988664,0.35,0.57235396,0.52651256,0.51203895,0.37619677,0.58556104,0.8697765,0.7120677,0.34376037,0.0,0.5809247
