,Artificial,Arable land,Vineyards,Fruit trees/berry plantations,Pastures,Heterogenous agricultural areas,Forest,Natural grasslands,Transitional woodland-shrub,Bare rocks,Sparsely vegetated areas,Glaciers and perpetual snow,Wetlands,Inland waters,row total,user's accuracy
Artificial,37723.0,166.0,939.0,10580.0,1687.0,8.0,3893.0,412.0,37.0,171.0,127.0,4.0,26.0,887.0,56660.0,0.66577834
Arable land,26.0,338.0,0.0,37.0,32.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,482.0,0.70124483
Vineyards,4859.0,113.0,6110.0,12675.0,4338.0,4.0,18532.0,214.0,42.0,15.0,55.0,0.0,9.0,454.0,47420.0,0.12884858
Fruit trees/berry plantations,8796.0,223.0,1737.0,90317.0,4733.0,25.0,7440.0,97.0,75.0,24.0,26.0,0.0,25.0,1414.0,114932.0,0.7858299
Pastures,4101.0,259.0,863.0,8197.0,30427.0,13.0,52040.0,1359.0,148.0,206.0,192.0,1.0,35.0,1253.0,99094.0,0.3070519
Heterogenous agricultural areas,1.0,0.0,0.0,0.0,3.0,49.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.8032787
Forest,1663.0,114.0,259.0,1994.0,11889.0,40.0,306057.0,6612.0,1251.0,3006.0,1039.0,61.0,9.0,1015.0,335009.0,0.91357845
Natural grasslands,122.0,6.0,2.0,67.0,680.0,0.0,5589.0,62097.0,1195.0,7186.0,9556.0,0.0,204.0,319.0,87023.0,0.71357
Transitional woodland-shrub,198.0,0.0,1.0,26.0,1637.0,0.0,31211.0,11614.0,4551.0,2256.0,1384.0,4.0,1.0,101.0,52984.0,0.085893854
Bare rocks,412.0,7.0,11.0,187.0,286.0,0.0,4251.0,10636.0,265.0,18965.0,7581.0,145.0,4.0,83.0,42833.0,0.4427661
Sparsely vegetated areas,46.0,0.0,0.0,13.0,8.0,0.0,244.0,16207.0,126.0,8607.0,38222.0,22.0,72.0,151.0,63718.0,0.5998619
Glaciers and perpetual snow,256.0,10.0,98.0,335.0,755.0,0.0,9582.0,1453.0,67.0,1900.0,3329.0,1813.0,0.0,73.0,19671.0,0.09216613
Wetlands,72.0,1.0,6.0,94.0,123.0,0.0,1644.0,37.0,0.0,0.0,5.0,0.0,997.0,32.0,3011.0,0.33111924
Inland waters,1151.0,37.0,94.0,1257.0,1614.0,1.0,11634.0,266.0,51.0,70.0,95.0,8.0,35.0,3264.0,19577.0,0.16672626
column total,59426.0,1274.0,10120.0,125779.0,58212.0,140.0,452173.0,111004.0,7808.0,42406.0,61611.0,2058.0,1417.0,9047.0,0.0,0.0
producer's accuracy,0.63478947,0.26530612,0.60375494,0.71806103,0.5226929,0.35,0.6768582,0.5594123,0.58286375,0.44722444,0.6203762,0.88095236,0.70359915,0.3607826,0.0,0.6376084
