,Artificial,Arable land,Vineyards,Fruit trees/berry plantations,Pastures,Heterogenous agricultural areas,Forest,Natural grasslands,Transitional woodland-shrub,Bare rocks,Sparsely vegetated areas,Glaciers and perpetual snow,Wetlands,Inland waters,row total,user's accuracy
Artificial,37978.0,143.0,893.0,10002.0,1268.0,8.0,3009.0,173.0,25.0,88.0,31.0,0.0,17.0,789.0,54424.0,0.69781715
Arable land,26.0,338.0,0.0,37.0,32.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,482.0,0.70124483
Vineyards,5299.0,144.0,6635.0,12189.0,4421.0,0.0,22821.0,240.0,57.0,10.0,33.0,0.0,3.0,570.0,52422.0,0.126569
Fruit trees/berry plantations,8279.0,215.0,1536.0,94094.0,1986.0,21.0,4250.0,38.0,86.0,0.0,10.0,0.0,10.0,1247.0,111772.0,0.8418387
Pastures,4155.0,274.0,649.0,5993.0,34709.0,30.0,55717.0,1394.0,120.0,313.0,166.0,5.0,39.0,1513.0,105077.0,0.33031967
Heterogenous agricultural areas,1.0,0.0,0.0,0.0,3.0,49.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.8032787
Forest,1629.0,116.0,232.0,1785.0,12056.0,32.0,316306.0,7506.0,1340.0,3510.0,1108.0,67.0,6.0,1066.0,346759.0,0.9121782
Natural grasslands,50.0,6.0,0.0,7.0,521.0,0.0,4263.0,65408.0,1113.0,8425.0,10721.0,0.0,238.0,353.0,91105.0,0.71794087
Transitional woodland-shrub,192.0,0.0,0.0,2.0,1351.0,0.0,26417.0,10112.0,4665.0,1264.0,1193.0,0.0,0.0,65.0,45261.0,0.103068866
Bare rocks,214.0,2.0,4.0,130.0,184.0,0.0,3087.0,10441.0,208.0,19030.0,7110.0,173.0,4.0,60.0,40647.0,0.46817723
Sparsely vegetated areas,20.0,0.0,0.0,0.0,0.0,0.0,157.0,14006.0,88.0,7896.0,37813.0,12.0,40.0,123.0,60155.0,0.6285928
Glaciers and perpetual snow,208.0,5.0,90.0,263.0,492.0,0.0,8106.0,1420.0,61.0,1815.0,3331.0,1801.0,0.0,64.0,17656.0,0.10200498
Wetlands,84.0,0.0,7.0,58.0,84.0,0.0,1093.0,45.0,1.0,0.0,5.0,0.0,998.0,9.0,2384.0,0.41862416
Inland waters,1291.0,31.0,74.0,1219.0,1105.0,0.0,6891.0,221.0,44.0,55.0,90.0,0.0,62.0,3187.0,14270.0,0.22333567
column total,59426.0,1274.0,10120.0,125779.0,58212.0,140.0,452173.0,111004.0,7808.0,42406.0,61611.0,2058.0,1417.0,9047.0,0.0,0.0
producer's accuracy,0.6390805,0.26530612,0.65563244,0.7480899,0.5962516,0.35,0.6995243,0.58924,0.59746414,0.44875726,0.6137378,0.8751215,0.7043049,0.35227147,0.0,0.66103715
