,Artificial,Arable land,Vineyards,Fruit trees/berry plantations,Pastures,Heterogenous agricultural areas,Forest,Natural grasslands,Transitional woodland-shrub,Bare rocks,Sparsely vegetated areas,Glaciers and perpetual snow,Wetlands,Inland waters,row total,user's accuracy
Artificial,37823.0,146.0,888.0,9967.0,1268.0,8.0,2822.0,123.0,33.0,46.0,29.0,0.0,20.0,774.0,53947.0,0.70111406
Arable land,26.0,338.0,0.0,37.0,32.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,482.0,0.70124483
Vineyards,5632.0,145.0,6775.0,11492.0,3825.0,0.0,20208.0,167.0,69.0,8.0,9.0,0.0,8.0,645.0,48983.0,0.1383133
Fruit trees/berry plantations,7918.0,207.0,1376.0,94880.0,1736.0,17.0,3388.0,33.0,55.0,0.0,8.0,0.0,8.0,1094.0,110720.0,0.8569364
Pastures,4785.0,333.0,681.0,6503.0,37571.0,38.0,50035.0,1332.0,145.0,116.0,107.0,11.0,39.0,1619.0,103315.0,0.36365485
Heterogenous agricultural areas,1.0,0.0,0.0,0.0,3.0,49.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.8032787
Forest,1596.0,73.0,253.0,1808.0,11233.0,28.0,337918.0,6463.0,1066.0,3361.0,1050.0,60.0,13.0,1150.0,366072.0,0.92309165
Natural grasslands,60.0,5.0,0.0,6.0,358.0,0.0,3397.0,66898.0,1151.0,7817.0,10007.0,0.0,219.0,339.0,90257.0,0.7411946
Transitional woodland-shrub,146.0,7.0,0.0,8.0,1124.0,0.0,20775.0,10148.0,5004.0,860.0,996.0,0.0,0.0,71.0,39139.0,0.12785201
Bare rocks,139.0,0.0,2.0,74.0,43.0,0.0,2227.0,11356.0,122.0,20398.0,7862.0,179.0,1.0,58.0,42461.0,0.48039377
Sparsely vegetated areas,20.0,0.0,0.0,0.0,1.0,0.0,167.0,12908.0,82.0,8064.0,38336.0,12.0,59.0,129.0,59778.0,0.64130616
Glaciers and perpetual snow,194.0,0.0,75.0,207.0,401.0,0.0,6931.0,1370.0,59.0,1681.0,3139.0,1796.0,0.0,68.0,15921.0,0.11280698
Wetlands,84.0,7.0,8.0,63.0,57.0,0.0,1698.0,35.0,0.0,0.0,5.0,0.0,998.0,17.0,2972.0,0.3358008
Inland waters,1002.0,13.0,62.0,734.0,560.0,0.0,2551.0,171.0,22.0,55.0,63.0,0.0,52.0,3082.0,8367.0,0.36835185
column total,59426.0,1274.0,10120.0,125779.0,58212.0,140.0,452173.0,111004.0,7808.0,42406.0,61611.0,2058.0,1417.0,9047.0,0.0,0.0
producer's accuracy,0.6364722,0.26530612,0.6694664,0.754339,0.64541674,0.35,0.7473202,0.602663,0.6408811,0.48101684,0.62222654,0.8726919,0.7043049,0.3406654,0.0,0.6916534
