,Artificial,Arable land,Vineyards,Fruit trees/berry plantations,Pastures,Heterogenous agricultural areas,Forest,Natural grasslands,Transitional woodland-shrub,Bare rocks,Sparsely vegetated areas,Glaciers and perpetual snow,Wetlands,Inland waters,row total,user's accuracy
Artificial,26228.0,149.0,1728.0,13287.0,3919.0,31.0,40180.0,4378.0,460.0,1846.0,1960.0,12.0,187.0,1803.0,96168.0,0.27273107
Arable land,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,1.0
Vineyards,4890.0,107.0,3817.0,13162.0,4471.0,14.0,29825.0,1135.0,291.0,542.0,368.0,0.0,46.0,552.0,59220.0,0.06445458
Fruit trees/berry plantations,16288.0,488.0,2393.0,83031.0,9265.0,1.0,79731.0,2426.0,708.0,519.0,402.0,4.0,248.0,3020.0,198524.0,0.41824162
Pastures,3822.0,276.0,475.0,6232.0,23277.0,3.0,38040.0,3603.0,333.0,369.0,236.0,0.0,29.0,531.0,77226.0,0.30141404
Heterogenous agricultural areas,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0
Forest,3801.0,77.0,898.0,4275.0,9218.0,35.0,169098.0,3822.0,765.0,599.0,795.0,4.0,17.0,578.0,193982.0,0.8717201
Natural grasslands,271.0,4.0,25.0,189.0,956.0,0.0,4324.0,58006.0,650.0,9032.0,11554.0,7.0,346.0,363.0,85727.0,0.6766363
Transitional woodland-shrub,1432.0,35.0,553.0,2919.0,5654.0,34.0,78727.0,14751.0,4310.0,1820.0,2661.0,0.0,11.0,369.0,113276.0,0.03804866
Bare rocks,1049.0,13.0,102.0,636.0,645.0,6.0,5740.0,7873.0,118.0,14098.0,6517.0,183.0,20.0,155.0,37155.0,0.3794375
Sparsely vegetated areas,72.0,2.0,3.0,65.0,24.0,0.0,102.0,13091.0,96.0,8885.0,32987.0,85.0,54.0,178.0,55644.0,0.59282225
Glaciers and perpetual snow,8.0,0.0,0.0,7.0,4.0,0.0,9.0,946.0,0.0,4471.0,3791.0,1763.0,0.0,3.0,11002.0,0.16024359
Wetlands,52.0,2.0,7.0,46.0,6.0,0.0,24.0,50.0,0.0,2.0,8.0,0.0,416.0,9.0,622.0,0.6688103
Inland waters,1513.0,33.0,119.0,1930.0,773.0,3.0,6373.0,923.0,77.0,223.0,332.0,0.0,43.0,1486.0,13828.0,0.10746312
column total,59426.0,1274.0,10120.0,125779.0,58212.0,140.0,452173.0,111004.0,7808.0,42406.0,61611.0,2058.0,1417.0,9047.0,0.0,0.0
producer's accuracy,0.44135565,0.06907378,0.3771739,0.660134,0.399866,0.092857145,0.3739675,0.52255774,0.55199796,0.33245295,0.53540766,0.85665697,0.29357797,0.16425334,0.0,0.4441688
