,Disc. urban fabric,Green urban areas,Sport/Leisure facilities,Non-irrigated arable land,Broad-leaved forest,Coniferous forest,Mixed forest,Natural grasslands,Inland marshes,Marine waters,row total,user's accuracy
Disc. urban fabric,57477.0,3.0,125.0,24589.0,56.0,2277.0,3342.0,7407.0,13.0,186.0,95475.0,0.602011
Green urban areas,8.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.54545456
Sport/Leisure facilities,175.0,0.0,1294.0,288.0,1.0,58.0,49.0,79.0,0.0,13.0,1957.0,0.66121614
Non-irrigated arable land,8322.0,20.0,92.0,381826.0,85.0,3447.0,5057.0,18623.0,73.0,343.0,417888.0,0.91370416
Broad-leaved forest,863.0,1.0,10.0,7417.0,4148.0,3137.0,8945.0,3431.0,39.0,310.0,28301.0,0.14656726
Coniferous forest,1391.0,0.0,37.0,9986.0,481.0,70902.0,42199.0,6621.0,143.0,2068.0,133828.0,0.52979946
Mixed forest,1749.0,0.0,23.0,13926.0,703.0,30465.0,50823.0,9631.0,237.0,2077.0,109634.0,0.4635697
Natural grasslands,8491.0,16.0,24.0,71883.0,214.0,8268.0,13955.0,47071.0,187.0,1206.0,151315.0,0.31107953
Inland marshes,17.0,0.0,0.0,181.0,0.0,84.0,300.0,267.0,1982.0,153.0,2984.0,0.6642091
Marine waters,200.0,0.0,15.0,1550.0,89.0,17573.0,13325.0,2007.0,157.0,13680.0,48596.0,0.28150466
column total,78693.0,52.0,1620.0,511646.0,5777.0,136211.0,137997.0,95137.0,2831.0,20036.0,0.0,0.0
producer's accuracy,0.7303953,0.23076923,0.7987654,0.7462699,0.7180197,0.52053064,0.3682906,0.4947707,0.70010597,0.682771,0.0,0.6355707
