,Disc. urban fabric,Green urban areas,Sport/Leisure facilities,Non-irrigated arable land,Broad-leaved forest,Coniferous forest,Mixed forest,Natural grasslands,Inland marshes,Marine waters,row total,user's accuracy
Disc. urban fabric,59125.0,19.0,103.0,25810.0,105.0,2956.0,3714.0,8603.0,23.0,195.0,100653.0,0.5874142
Green urban areas,8.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.54545456
Sport/Leisure facilities,91.0,0.0,1295.0,178.0,1.0,37.0,13.0,60.0,0.0,14.0,1689.0,0.7667259
Non-irrigated arable land,5810.0,0.0,61.0,418868.0,32.0,1610.0,2878.0,15628.0,35.0,123.0,445045.0,0.94118124
Broad-leaved forest,593.0,0.0,12.0,2245.0,4192.0,2977.0,9835.0,2987.0,59.0,301.0,23201.0,0.18068187
Coniferous forest,609.0,0.0,24.0,2427.0,411.0,71862.0,37953.0,2926.0,146.0,2232.0,118590.0,0.60597014
Mixed forest,1449.0,0.0,13.0,6112.0,757.0,34509.0,58254.0,7840.0,210.0,2012.0,111156.0,0.52407426
Natural grasslands,10621.0,20.0,101.0,54830.0,188.0,7971.0,14765.0,53940.0,137.0,935.0,143508.0,0.37586755
Inland marshes,217.0,1.0,1.0,584.0,10.0,1214.0,1967.0,1837.0,2110.0,602.0,8543.0,0.24698584
Marine waters,170.0,0.0,10.0,592.0,81.0,13075.0,8616.0,1316.0,111.0,13622.0,37593.0,0.3623547
column total,78693.0,52.0,1620.0,511646.0,5777.0,136211.0,137997.0,95137.0,2831.0,20036.0,0.0,0.0
producer's accuracy,0.75133747,0.23076923,0.7993827,0.8186676,0.7256361,0.52757853,0.4221396,0.56697184,0.74531966,0.6798762,0.0,0.6901818
