,Disc. urban fabric,Green urban areas,Sport/Leisure facilities,Non-irrigated arable land,Broad-leaved forest,Coniferous forest,Mixed forest,Natural grasslands,Inland marshes,Marine waters,row total,user's accuracy
Disc. urban fabric,59594.0,12.0,117.0,24043.0,64.0,2444.0,3374.0,7802.0,15.0,151.0,97616.0,0.6104942
Green urban areas,8.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.54545456
Sport/Leisure facilities,70.0,0.0,1294.0,112.0,1.0,33.0,22.0,25.0,0.0,13.0,1570.0,0.82420385
Non-irrigated arable land,5397.0,0.0,63.0,421343.0,28.0,1589.0,2640.0,14977.0,24.0,80.0,446141.0,0.9444167
Broad-leaved forest,426.0,0.0,12.0,987.0,4064.0,1009.0,4488.0,1362.0,19.0,185.0,12552.0,0.32377312
Coniferous forest,384.0,0.0,4.0,1820.0,283.0,80656.0,35567.0,2370.0,90.0,1766.0,122940.0,0.65605986
Mixed forest,2141.0,12.0,32.0,8029.0,1074.0,35113.0,73315.0,9727.0,183.0,2451.0,132077.0,0.5550929
Natural grasslands,10525.0,16.0,81.0,54629.0,191.0,7911.0,13971.0,56572.0,178.0,843.0,144917.0,0.39037517
Inland marshes,54.0,0.0,4.0,426.0,13.0,457.0,1159.0,1796.0,2221.0,575.0,6705.0,0.33124533
Marine waters,94.0,0.0,13.0,257.0,59.0,6999.0,3459.0,506.0,101.0,13972.0,25460.0,0.5487824
column total,78693.0,52.0,1620.0,511646.0,5777.0,136211.0,137997.0,95137.0,2831.0,20036.0,0.0,0.0
producer's accuracy,0.75729734,0.23076923,0.7987654,0.8235049,0.7034793,0.59214014,0.5312797,0.5946372,0.78452843,0.6973448,0.0,0.7202455
