,Disc. urban fabric,Green urban areas,Sport/Leisure facilities,Non-irrigated arable land,Broad-leaved forest,Coniferous forest,Mixed forest,Natural grasslands,Inland marshes,Marine waters,row total,user's accuracy
Disc. urban fabric,60124.0,12.0,123.0,24377.0,71.0,2525.0,3423.0,7581.0,12.0,172.0,98420.0,0.6108921
Green urban areas,8.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.54545456
Sport/Leisure facilities,27.0,0.0,1301.0,123.0,1.0,30.0,11.0,19.0,0.0,13.0,1525.0,0.8531148
Non-irrigated arable land,5287.0,0.0,65.0,421080.0,35.0,1721.0,2806.0,15160.0,28.0,90.0,446272.0,0.9435501
Broad-leaved forest,447.0,0.0,24.0,953.0,4142.0,748.0,4862.0,1649.0,33.0,194.0,13052.0,0.317346
Coniferous forest,557.0,0.0,3.0,1780.0,292.0,85434.0,37121.0,2093.0,70.0,1623.0,128973.0,0.6624177
Mixed forest,1794.0,0.0,20.0,8022.0,1010.0,31175.0,70438.0,9592.0,190.0,2476.0,124717.0,0.5647827
Natural grasslands,10335.0,28.0,58.0,54553.0,186.0,7987.0,14352.0,56866.0,175.0,925.0,145465.0,0.39092565
Inland marshes,58.0,0.0,3.0,374.0,6.0,468.0,1081.0,1496.0,2226.0,599.0,6311.0,0.3527175
Marine waters,56.0,0.0,23.0,384.0,34.0,6123.0,3901.0,681.0,97.0,13944.0,25243.0,0.55239075
column total,78693.0,52.0,1620.0,511646.0,5777.0,136211.0,137997.0,95137.0,2831.0,20036.0,0.0,0.0
producer's accuracy,0.76403236,0.23076923,0.8030864,0.8229909,0.7169811,0.62721807,0.5104314,0.5977275,0.7862946,0.6959473,0.0,0.72279495
